Idioms,en,ko
,"I ran out of gas so my car stopped, and to make matters worse, I didn't have my cellphone.","기름이 없어서 차가 멈췄는데, 설상가상으로 휴대 전화도 갖고 있지 않다."
,"I was already late to class, but to make matters worse, I forgot my homework.","이미 수업 시간에 늦었는데, 설상가상으로 숙제를 잊었었다."
,"To make matters worse, his parents got divorced when he was very young.",설상가상으로 그의 부모님은 그가 매우 어릴 때 이혼했다.
,"To make matters worse, free school meals have been withdrawn.",설상가상으로 무료 학급 급식이 취소돼 버렸다.
,"Breaking up with someone is always very difficult, but don't go making matters worse by doing it in a very public place.","누구랑 헤어지는 것은 언제나 어렵다, 설상가상으로 매우 공개적인 장소에서 함으로써 상황을 더욱 난처하게 하지 말아라."
,I'm feeling under the weather.,몸이 좀 안 좋은 것 같아.
,I'm under the weather.,몸이 안 좋아.
,Yeah. I've been feeling under the weather recently.,어 요새 컨디션이 안 좋네
,"Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist.","예, 글쎄, 베르나데뜨가 약간 기운이 없어. 그리고 우리 엄마는 치과 의사선생님 아래에 계셔."
,Son Heung-Min was sufficiently under the weather to have to pull out of the World cup football qualifier.,손흥민 선수는 월드컵 예선전에서 손을 떼야 할 정도로 충분히 몸이 좋지 않았다.
,I am a little under the weather. I feel a bit light-headed. But I'm trying to power through ​ for that meeting later. ,"나 약간 몸이 안좋아. 약간 어지러운거 같아. 그렇지만, 나중에 있을 미팅은 어떻게든 참석할거야."
,I've under the weather since last week.,지난주부터 컨디션이 좋지 않았어.
,Sorry to hear you're under the weather,몸이 안 좋다니 유감이야.
,We'll cross that bridge when we come to it,그건 그때 가서 생각해보자.
,"I don't know how we'll pay the bills if you quit your job, but we'll cross that bridge when we come to it.","일을 그만 두시면, 얼마나 지불 드릴 지는 모르겠지만, 그건 그때 가서 생각합시다."
,Can we cross that bridge when we get there?,그건 그때 가서 생각해도 돼?
,I'll cross that bridge when I come to it.,그때 가서 생각할거야.
,Don't cross the bridge unntil you come to it.,"지레 걱정하지마, 그때 가서 생각 해도 돼."
,We'll cross that bridge when we get to it.,그건 그때 가서 얘기하자.
,What if he denies it? then we will cross that bridge.,만약 그자가 부인하면? 그러면 싸워야지.
,"Well, there's medication, but why don't we cross that bridge if we come to it?",약을 처방할 수도 있지만 그건 정말 필요할 때 쓰기로 하죠.
,"Well, what if she won't tell me? you can cross that bridge.",말 안 해 주면? 그때 가서 고민해.
,Let's cross that bridge whenn we get to it.,그때 가서 생각하자.
,"I hear you, but we'll cross that bridge when we get to it.","너의 심정은 이해 하지만, 그건 그때 가서 대처하자."
,Wrap your head around something,머리를 무언가에 감아라
,You better wrap your head around that fact because you're gonna die alone. Just like me.,그 사실을 받아들이는 게 좋을 거야. 왜냐면 넌 혼자 죽을 거거든. 나처럼.
,"You're not understanding this, Dennis, but I think I have something that could help you wrap your head around it.",이해를 못 하고 있는 거 같은데 네가 이해하는 데 도움이 될 만한 게 있어.
,I need you to wrap your head around this.,이것을 이해해 주세요.
,I suggest you wrap your head around that and do your job.,나는 네가 그것을 받아들이고 너의 일을 하기를 제안해.
,It really is incredibly weird when you wrap your head around it.,자네가 그것을 이해할 때 정말이지 믿을 수 없을 정도로 오싹하다.
,I still can't wrap my brain around it.,나는 아직도 이해흘 못 하겠어.
,I just can't wrap my head around us spendinng $500 a month on a fortune teller.,우리가 점쟁이한테 한 달에 500불이나 썼다는 게 도무지 이해가 안가.
,You can say that again.,당신 말이 옳아요.
,You can say that again.,전적으로 동감이야.
,You can say that again.,완전 공감이야.
,You can say that again.,네 말이 맞아.
,You can say that again.,정말 그래.
,Your guess is as good as mine,나도 잘 몰라 낸들 알아?
,Your guess is as good as mine,나도 모르긴 마찬가지다.
,"The post box will arrive soon, but your guess is as good as mine.",우체 택배가 곧 도착할 거에요. 하지만 저도 모르긴 마찬가지 입니다.
,"Your guess is as good as mine, who will be the new CEO.",누가 새로운 CEO가 될지 저도 모르긴 마찬가지네요.
,Your guess is as good as mine,저도 잘 모르겠군요.
,A bird in the hand is worth two in the bush,남의 돈 천량보다 내 돈 한 푼이 더 낫다.
,A bird in the hand is worth two in the bush,남의 돈 천냥이 내 돈 한푼만 못하다.
,I think I'll keep my modest winnings rather than wagering them all on the next horse race. A bird in the hand is worth two in the bush.,다음 경마에 모든 것을 거느니 보통으로 여러번 우승을 유지하는것이 나은것 같아. 남의 돈 천냥이 내 돈 한푼만 못한 것 처럼.
,"Bill has offered to buy my car for $3,000 cash. Someone else might pay more, but a bird in the hand is worth two in the bush. ",빌이 현금 3000달러 가격으로 내 차를 사는 것을 제안했어. 누군가가 더 좋은 제안을 할지 모르겠지만 남의 돈 천냥이 내 돈 한푼만 못한 법이니까.
,A penny for your thoughts?,지금 무슨 생각하고 있는 거죠?
,A penny for your thoughts?,무슨 생각해?
,A penny for your thoughts?,무슨 일 있어요?
,"You seem pretty serious, A penny for your thoughts?","너 꽤 심각해 보이는데, 무슨 생각하고 있어?"
,"A penny for your thoughts, sweetheart?","울 애기, 무슨 생각해?"
,do give us a penny for your thoughts.,무슨 생각 중인지 알려주세요
,you look sad. A penny for your thoughts.,슬퍼 보이는 군요. 괜찮다면 이야기를 들려주세요.
,A penny for your thoughts?,뭘 생각 하고 있나요
,A penny saved is a penny earned.,티끌모아 태산이다.
,mom always gave me an advice that a penny saved is a penny earned.,엄마는 언제나 티끌 모아 태산이라고 조언해주셨다.
,A penny saved is a penny earned! Always mind the 'saving habits'.,티끌모아 태산이야 항상 저축하는 습관을 염두에 두렴.
,I'll cook at home rather than eating outside because a penny saved is a penny earned.,"밖에서 사먹기 보다는 집에서 요리할래, 티끌모아 태산이지."
,"As your financial consultant, the only advice I can give is that a penny saved is a penny earned.",재무 상담사로서 제가 할 수 있는 조언은 지출을 줄이고 저축을 하시라는 겁니다.
,Try to put aside at least 10% of your income for savings because a penny saved is a penny gained.,"월급의 10%만 저축을 위해 뗴어놓도록 해봐, 티끌모아 태산이지."
,Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned.,그는 경제적으로 어렵기 때문에 아끼는 게 버는 거란 걸 깨닫게 될 거야. 
,This issue is a perfect storm.,이 문제는 최악의 시나리오이다.
,The travel industry experienced a perfect storm due to COVID-19.,여행 업체는 코로나로 인해 최악의 시나리오를 경험했다.
,What happened today was like a perfect storm.,오늘 일어난 일은 최악의 시나리오였다.
,It's a perfect storm.,최악의 상황이네요.
,"If Hank happens to be watching when they make a move, it could be the perfect storm.",그들이 움직이는 걸 행크가 알아채기라도 하면 최악의 상황이 되겠죠.
,"What we have here is the perfect storm. Old pips, water line blockage. ","여러가지 안 좋은 일이 한꺼번에 터졌어요. 오래된 배관에, 수로가 막혔고."
,"He did cause a lot of death, but he was like the perfect storm of issues that I think caused this man to become what he was.",많은 죽음의 원흉이긴 해도 그를 둘러싼 모든 문제가 그런 인물이 되도록 등을 떠밀었어요.
,I am an amateur sleuth with limited selfcontrol and a computer. It was a perfect storm.,자제력이 부족한 아마추어 탐정 손에 노트북을 쥐여주면 이렇게 최악의 상황이 된다.
,A picture paints a thousand words.,백문이 불여일견.
,a picture is worth a thousand words.,천 마디의 말보다 한 번 보는 것이 더 낫다.
,"The sunset was incredible, but a picture is worth a thousand words.",석양은 굉장했다. 백문이 불여일견.
,"It's hard to describe what I'm talking about, but a picture is worthe a thousand words.",천 마디의 말보다 한 번 보는 것이 더 낫다.
,Actions speak louder than words.,말보다 행동이 중요하다.
,"Well, actions speak louder than words.","그래도, 말보다 행동이 중요하잖아."
,I think actions speak louder than words.,나는 말보다 행동이 중요하다고 생각해요.
,Safety of our employees is the most ciritical priority. And we believe actions speak louder than words.,우리 직원들의 안전이 가장 중요한 우선 사항이예요. 그리고 우리는 말보다 행동이 중요하다고 믿습니다.
,I am an actions-speak-louder-than-words. I actually do what I say I'm going to do.,저는 말보다 행동이 중요한 사람입니다. 저는 제가 하겠다고 하는 걸 실제로 행동으로 옮깁니다.
,Actions speak louder than words,행동이 말보다 중요하다.
,Add insult to injury,엎친 데 덮친 격이다
,"I forgot my umbrella, and to add insult to injury my stocking tore on the bus.","우산을 깜빡 했는데, 설상가상으로 스타킹이 찢어졌다."
,"My credit card is declined at lunch and to add insult to injury, my ex-boyfriend was at the next table!","점심때 신용카드 결제가 거절 됐는데, 설상가상으로 전 남자친구가 옆 테이블에 있었어!"
,"Jonh cheated on her, Add insult to injury, it was with her best friend.","존이 바람을 피웠는데, 설상가상으로 바람난 상대가 그녀의 절친이였어."
,"I got fire and to add insult to injury, I was dumped by her.","나 해고 됐는데, 설상가상으로 여자친구한테도 차였어."
,"I missed train. Add insult to injury, there was no refund.","기차를 놓쳤는데, 엎친데 덮친 격이라고 환불도 안됐어."
,"My car broke down in the middle of nowhere, then, add insult to injury, it started to rain.","자동차가 갑자기 고장났는데, 설상가상으로 비가 내리기 시작했다."
